Date and Time,ft (below ground)
2024-12-10 10:57:43,57.53
2024-12-10 07:57:06,57.53
2024-12-10 06:26:47,57.72
2024-12-10 06:21:47,57.53
2024-12-10 04:06:17,57.53
2024-12-10 01:05:37,57.53
2024-12-09 22:04:59,57.53
2024-12-09 19:04:22,57.47
2024-12-09 16:03:45,57.47
2024-12-09 13:03:05,57.53
2024-12-09 10:02:30,57.53
2024-12-09 07:01:49,57.47
2024-12-09 06:36:49,57.72
2024-12-09 05:31:29,57.78
2024-12-09 02:30:51,57.78
2024-12-08 23:30:14,57.78
2024-12-08 20:29:35,57.72
2024-12-08 17:28:54,57.72
2024-12-08 14:28:15,57.72
2024-12-08 11:27:38,57.72
2024-12-08 08:26:59,57.72
2024-12-08 05:26:16,57.72
2024-12-08 02:25:38,57.72
2024-12-07 23:24:59,57.72
2024-12-07 20:24:22,57.72
2024-12-07 17:23:42,57.72
2024-12-07 14:23:02,57.72
2024-12-07 11:22:23,57.72
2024-12-07 08:21:45,57.72
2024-12-07 05:21:08,57.72
2024-12-07 02:20:33,57.72
2024-12-06 23:19:52,57.72
2024-12-06 22:39:52,57.47
2024-12-06 20:19:12,57.47
2024-12-06 18:59:12,57.47
2024-12-06 18:49:12,57.72
2024-12-06 17:18:34,57.66
2024-12-06 14:17:55,57.66
2024-12-06 13:47:49,57.66
2024-12-06 13:17:43,57.66
2024-12-06 12:47:38,57.66
2024-12-06 12:17:33,57.66
2024-12-06 11:47:22,57.66
2024-12-06 11:17:16,57.72
2024-12-06 10:48:25,57.72
2024-12-03 15:23:56,57.6
2024-12-03 12:20:55,57.6
2024-12-03 09:38:32,57.6
2024-12-03 09:16:57,57.6
2024-12-02 15:42:41,57.6
2024-12-02 12:42:00,57.6
2024-12-02 10:11:00,57.6
2024-12-02 09:39:26,57.53
2024-12-01 14:08:26,57.53
2024-12-01 12:53:26,57.34
2024-12-01 11:07:40,57.41
2024-12-01 08:06:56,57.34
2024-12-01 08:06:25,57.34
2024-12-01 01:24:34,57.34
2024-11-30 22:23:56,57.34
2024-11-30 19:23:18,57.34
2024-11-30 16:22:40,57.34
2024-11-30 13:22:00,57.34
2024-11-30 10:21:22,57.34
2024-11-30 07:20:43,57.34
2024-11-30 04:20:04,57.34
2024-11-30 01:19:24,57.34
2024-11-29 22:18:48,57.34
2024-11-29 19:18:07,57.34
2024-11-29 16:17:33,57.28
2024-11-29 13:16:55,57.28
2024-11-29 11:46:36,57.53
2024-11-29 08:50:56,57.6
2024-11-29 05:50:19,57.53
2024-11-29 02:49:43,57.53
2024-11-29 02:39:43,57.41
2024-11-29 00:14:10,57.34
2024-11-28 21:13:32,57.34
2024-11-28 18:12:55,57.34
2024-11-28 15:12:14,57.28
2024-11-28 12:11:37,57.34
2024-11-28 09:10:55,57.34
2024-11-28 06:45:55,57.41
2024-11-28 06:10:18,57.34
2024-11-28 03:09:41,57.34
2024-11-28 00:09:03,57.34
