Date and Time,ft (below ground)
2024-11-08 12:49:57,57.06
2024-11-08 12:36:48,57.09
2024-11-07 14:02:35,57.06
2024-11-07 11:01:29,57.06
2024-11-07 11:00:56,57.09
2024-11-06 16:24:08,57.06
2024-11-06 13:23:31,57.04
2024-11-06 10:22:58,57.04
2024-11-06 10:22:27,57.06
2024-11-05 18:49:47,57.04
2024-11-05 15:49:08,57.01
2024-11-05 12:48:30,57.01
2024-11-05 09:52:26,57.01
2024-11-05 09:44:02,57.04
2024-11-05 02:58:30,57.06
2024-11-04 23:57:52,57.06
2024-11-04 20:57:12,57.19
2024-11-04 19:26:53,57.21
2024-11-04 16:26:18,57.19
2024-11-04 13:25:37,57.19
2024-11-04 10:24:58,57.21
2024-11-04 07:24:19,57.06
2024-11-04 04:23:40,57.06
2024-11-04 01:22:59,57.06
2024-11-03 22:22:20,57.06
2024-11-03 19:21:38,57.04
2024-11-03 16:20:57,57.01
2024-11-03 13:20:18,57.01
2024-11-03 10:19:38,57.04
2024-11-03 07:18:56,57.04
2024-11-03 04:18:19,57.06
2024-11-03 01:17:40,57.09
2024-11-02 23:17:04,57.06
2024-11-02 20:16:28,57.06
2024-11-02 17:15:49,57.06
2024-11-02 14:15:14,57.04
2024-11-02 11:14:36,57.06
2024-11-02 08:13:55,57.06
2024-11-02 05:13:18,57.09
2024-11-02 02:12:38,57.09
2024-11-01 23:11:59,57.11
2024-11-01 20:11:23,57.09
2024-11-01 17:10:42,57.06
2024-11-01 14:10:01,57.06
2024-11-01 11:09:23,57.09
2024-11-01 08:08:49,57.09
2024-11-01 05:08:14,57.09
2024-11-01 02:07:33,57.11
2024-10-31 23:06:50,57.09
2024-10-31 20:06:12,57.09
2024-10-31 17:05:35,57.06
2024-10-31 14:04:58,57.06
2024-10-31 11:04:18,57.09
2024-10-31 08:03:38,57.09
2024-10-31 05:03:01,57.11
2024-10-31 02:02:23,57.11
2024-10-30 23:01:46,57.14
2024-10-30 20:01:02,57.11
2024-10-30 17:00:24,57.06
2024-10-30 13:59:45,57.09
2024-10-30 10:59:07,57.11
2024-10-30 07:58:30,57.11
2024-10-30 04:57:53,57.09
2024-10-30 01:57:15,57.11
